21730,22752,71053,84029E
21730,22752,71053,84029G
21730,22752,71053,84406B
21730,22752,71053,85123A
21730,22752,84029E,84029G
21730,22752,84029E,84406B
21730,22752,84029E,85123A
21730,22752,84029G,84406B
21730,22752,84029G,85123A
21730,22752,84406B,85123A
21730,71053,84029E,84029G
21730,71053,84029E,84406B
21730,71053,84029E,85123A
21730,71053,84029G,84406B
21730,71053,84029G,85123A
21730,71053,84406B,85123A
21730,84029E,84029G,84406B
21730,84029E,84029G,85123A
21730,84029E,84406B,85123A
21730,84029G,84406B,85123A
22752,71053,84029E,84029G
22752,71053,84029E,84406B
22752,71053,84029E,85123A
22752,71053,84029G,84406B
22752,71053,84029G,85123A
22752,71053,84406B,85123A
22752,84029E,84029G,84406B
22752,84029E,84029G,85123A
22752,84029E,84406B,85123A
22752,84029G,84406B,85123A
71053,84029E,84029G,84406B
71053,84029E,84029G,85123A
71053,84029E,84406B,85123A
71053,84029G,84406B,85123A
84029E,84029G,84406B,85123A
